Location,GeoRef,AgeRangeLow,AgeRangeHigh,Sex,TotalNum,TotalNumLow95,TotalNumHigh95,TotalNumCoeffVar,TotalPerc,TotalPercLow95,TotalPercHigh95,TotalPercCoeffVar,CurrentNum,CurrentNumLow95,CurrentNumHigh95,CurrentNumCoeffVar,CurrentPerc,CurrentPercLow95,CurrentPercHigh95,CurrentPercCOeffVar,DailyNum,DailyNumLow95,DailyNumHigh95,DailyNumCoeffVar,DailyPerc,DailyPercLow95,DailyPercHigh95,DailyPercCoeffVar,OccNum,OccNumLow95,OccNumHigh95,OccNumCoeffVar,OccPerc,OccPercLow95,OccPercHigh95,OccPercCoeffVar,FormerNum,FormerNumLow95,FormerNumHigh95,FormerNumCoeffVar,FormerPerc,FormerPercLow95,FormerPercHigh95,FormerPercCoeffVar,NeverNum,NeverNumLow95,NeverNumHigh95,NeverNumCoeffVar,NeverPerc,NeverPercLow95,NeverPercHigh95,NeverPercCoeffVar,NotNum,NotNumLow95,NotNumHigh95,NotNumCoeffVar,NotPerc,NotPercLow95,NotPercHigh95,NotPercCoeffVar
Canada,0,45,64,F,3607491,3607456,3607527,0,100,100,100,0,1004598,971430,1037766,1.7,27.8,26.9,28.8,1.7,885774,854460,917088,1.8,24.6,23.7,25.4,1.8,118824,104349,133299,6.2,3.3,2.9,3.7,6.2,1828329,1789298,1867360,1.1,50.7,49.6,51.8,1.1,763146,729177,797115,2.3,21.2,20.2,22.1,2.3,11418,7168,15667,19,0.3,0.2,0.4,19
Canada,0,45,54,B,3679663,3679615,3679712,0,100,100,100,0,869449,837828,901071,1.9,23.6,22.8,24.5,1.9,764458,735278,793637,1.9,20.8,20,21.6,1.9,104992,92888,117095,5.9,2.9,2.5,3.2,5.9,1506090,1467385,1544794,1.3,40.9,39.9,42,1.3,1299894,1260549,1339238,1.5,35.3,34.3,36.4,1.5,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,45,54,M,4449730,4395589,4503871,0.6,100,100,100,0,1261239,1220309,1302169,1.7,28.3,27.5,29.2,1.5,1108286,1070343,1146229,1.7,24.9,24.1,25.7,1.6,152954,135877,170030,5.7,3.4,3.1,3.8,5.6,1926727,1877866,1975588,1.3,43.3,42.3,44.3,1.2,1252645,1204313,1300976,2,28.2,27.1,29.2,1.8,9119,5318,12920,21.3,0.2,0.1,0.3,21.2
Canada,0,45,54,F,2197419,2158935,2235902,0.9,100,100,100,0,683003,654056,711949,2.2,31.1,29.8,32.3,2,600164,572976,627352,2.3,27.3,26.1,28.5,2.2,82839,70247,95431,7.8,3.8,3.2,4.3,7.7,1025731,987852,1063609,1.9,46.7,45.2,48.2,1.6,480960,450754,511166,3.2,21.9,20.6,23.2,3,7725,4073,11376,24.1,0.4,0.2,0.5,24.1
Canada,0,55,64,B,2252312,2215534,2289089,0.8,100,100,100,0,578236,550422,606051,2.5,25.7,24.5,26.8,2.3,508122,482136,534108,2.6,22.6,21.5,23.7,2.5,70114,59556,80673,7.7,3.1,2.6,3.6,7.6,900997,870790,931203,1.7,40,38.8,41.3,1.6,771684,737079,806290,2.3,34.3,32.9,35.6,2.1,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,55,64,M,2837424,2783282,2891567,1,100,100,100,0,612808,583049,642568,2.5,21.6,20.7,22.5,2.2,541947,514443,569450,2.6,19.1,18.2,20,2.3,70862,60578,81146,7.4,2.5,2.1,2.9,7.3,1407692,1366093,1449290,1.5,49.6,48.4,50.8,1.2,810395,774959,845831,2.2,28.6,27.5,29.7,2,6529,2911,10147,28.3,0.2,0.1,0.4,28.3
Canada,0,55,64,F,1410073,1371590,1448556,1.4,100,100,100,0,321595,299544,343646,3.5,22.8,21.4,24.2,3.1,285611,264720,306501,3.7,20.3,18.9,21.6,3.3,35985,28844,43125,10.1,2.6,2.1,3.1,10,802599,773357,831841,1.9,56.9,55.3,58.6,1.5,282186,259033,305338,4.2,20,18.5,21.5,3.8,3693,1509,5877,30.2,0.3,0.1,0.4,30.3
Canada,0,65,100,B,1427352,1390573,1464131,1.3,100,100,100,0,291213,273065,309361,3.2,20.4,19.2,21.6,3,256336,239578,273094,3.3,18,16.9,19.1,3.1,34877,27950,41805,10.1,2.4,2,2.9,10.1,605093,576982,633204,2.4,42.4,40.7,44.1,2.1,528209,500046,556373,2.7,37,35.4,38.6,2.2,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,65,100,M,3647791,3647731,3647851,0,100,100,100,0,440785,417727,463842,2.7,12.1,11.5,12.7,2.7,380742,359214,402270,2.9,10.4,9.8,11,2.9,60043,51540,68545,7.2,1.6,1.4,1.9,7.2,1882382,1848848,1915916,0.9,51.6,50.7,52.5,0.9,1313700,1279364,1348035,1.3,36,35.1,37,1.3,10924,6955,14893,18.5,0.3,0.2,0.4,18.5
Canada,0,65,100,F,1594367,1594331,1594402,0,100,100,100,0,210438,194252,226624,3.9,13.2,12.2,14.2,3.9,186016,170065,201966,4.4,11.7,10.7,12.7,4.4,24422,19102,29742,11.1,1.5,1.2,1.9,11.1,1079893,1056939,1102847,1.1,67.7,66.3,69.2,1.1,297890,278187,317593,3.4,18.7,17.4,19.9,3.4,6146,2971,9321,26.4,0.4,0.2,0.6,26.4
Canada,0,65,74,B,2053424,2053375,2053473,0,100,100,100,0,230347,214953,245741,3.4,11.2,10.5,12,3.4,194726,180925,208527,3.6,9.5,8.8,10.2,3.6,35621,28962,42279,9.5,1.7,1.4,2.1,9.5,802490,777678,827301,1.6,39.1,37.9,40.3,1.6,1015810,988828,1042791,1.4,49.5,48.2,50.8,1.4,4778,2230,7325,27.2,0.2,0.1,0.4,27.2
Canada,0,65,74,M,2156504,2120854,2192154,0.8,100,100,100,0,314655,295302,334009,3.1,14.6,13.7,15.5,3,274219,256206,292233,3.4,12.7,11.9,13.5,3.3,40436,33432,47439,8.8,1.9,1.6,2.2,8.8,1135936,1104073,1167800,1.4,52.7,51.4,53.9,1.2,700765,670969,730560,2.2,32.5,31.2,33.8,2,5148,2165,8131,29.6,0.2,0.1,0.4,29.5
Canada,0,65,74,F,1004986,982293,1027680,1.2,100,100,100,0,151836,138628,165044,4.4,15.1,13.8,16.4,4.3,136465,123547,149383,4.8,13.6,12.3,14.8,4.6,15371,11139,19604,14,1.5,1.1,2,14.1,667815,644440,691190,1.8,66.5,64.6,68.3,1.4,182466,165492,199440,4.7,18.2,16.5,19.8,4.6,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,75,100,B,1151518,1124925,1178110,1.2,100,100,100,0,162819,149071,176567,4.3,14.1,13,15.3,4.1,137754,125272,150237,4.6,12,10.9,13,4.5,25065,19525,30604,11.3,2.2,1.7,2.7,11.2,468121,446406,489837,2.4,40.7,39,42.3,2.1,518299,494380,542218,2.4,45,43.2,46.8,2,-1,-1,-1,-1,-1,-1,-1,-1
Canada,0,75,100,M,1491287,1455635,1526938,1.2,100,100,100,0,126129,113582,138676,5.1,8.5,7.6,9.3,4.9,106523,94868,118178,5.6,7.1,6.4,7.9,5.4,19607,14830,24383,12.4,1.3,1,1.6,12.4,746446,718505,774387,1.9,50.1,48.6,51.5,1.4,612935,587953,637917,2.1,41.1,39.7,42.5,1.7,5776,3074,8479,23.9,0.4,0.2,0.6,23.8
Canada,0,75,100,F,589380,566687,612074,2,100,100,100,0,58602,49345,67858,8.1,9.9,8.4,11.4,7.7,49551,40836,58265,9,8.4,7,9.8,8.7,9051,5692,12409,18.9,1.5,1,2.1,18.8,412078,392402,431754,2.4,69.9,67.6,72.2,1.7,115424,103026,127823,5.5,19.6,17.7,21.5,4.9,3277,1186,5367,32.5,0.6,0.2,0.9,32.4
Newfoundland and Labrador,10,12,100,B,901906,875313,928500,1.5,100,100,100,0,67528,59631,75425,6,7.5,6.6,8.3,5.8,56972,49781,64162,6.4,6.3,5.5,7.1,6.3,10556,7065,14047,16.9,1.2,0.8,1.6,16.9,334368,315513,353223,2.9,37.1,35.3,38.8,2.4,497511,475700,519322,2.2,55.2,53.3,57,1.7,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,100,M,461104,461104,461104,0,100,100,100,0,133698,125175,142220,3.3,29,27.1,30.8,3.3,114906,106541,123271,3.7,24.9,23.1,26.7,3.7,18792,15535,22049,8.8,4.1,3.4,4.8,8.8,176758,167995,185521,2.5,38.3,36.4,40.2,2.5,150419,141515,159323,3,32.6,30.7,34.6,3,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,100,F,227150,227150,227150,0,100,100,100,0,69878,63803,75954,4.4,30.8,28.1,33.4,4.4,60380,54375,66385,5.1,26.6,23.9,29.2,5.1,9498,6932,12065,13.8,4.2,3.1,5.3,13.8,96132,90206,102059,3.1,42.3,39.7,44.9,3.1,60948,54975,66922,5,26.8,24.2,29.5,5,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,19,B,233954,233954,233954,0,100,100,100,0,63820,58127,69512,4.6,27.3,24.8,29.7,4.6,54526,48971,60080,5.2,23.3,20.9,25.7,5.2,9294,7034,11554,12.4,4,3,4.9,12.4,80626,74647,86605,3.8,34.5,31.9,37,3.8,89471,83562,95380,3.4,38.2,35.7,40.8,3.4,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,19,M,61663,61663,61663,0,100,100,100,0,11311,9191,13432,9.6,18.3,14.9,21.8,9.6,8016,6208,9823,11.5,13,10.1,15.9,11.5,3296,1896,4696,21.7,5.3,3.1,7.6,21.7,9597,7255,11939,12.5,15.6,11.8,19.4,12.5,40525,37591,43460,3.7,65.7,61,70.5,3.7,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,19,F,31449,31449,31449,0,100,100,100,0,6471,4783,8160,13.3,20.6,15.2,25.9,13.3,4309,2857,5762,17.2,13.7,9.1,18.3,17.2,2162,1024,3301,26.9,6.9,3.3,10.5,26.9,4442,2918,5966,17.5,14.1,9.3,19,17.5,20345,18365,22324,5,64.7,58.4,71,5,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,14,B,30214,30214,30214,0,100,100,100,0,4840,3508,6172,14,16,11.6,20.4,14,3706,2547,4866,16,12.3,8.4,16.1,16,1134,459,1808,30.4,3.8,1.5,6,30.4,5156,3648,6663,14.9,17.1,12.1,22.1,14.9,20181,18334,22027,4.7,66.8,60.7,72.9,4.7,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,14,M,21179,18324,24035,6.9,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1560,686,2434,28.6,7.4,3.3,11.4,28.1,18526,15749,21304,7.6,87.5,82.1,92.8,3.1,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,12,14,F,11273,9256,13290,9.1,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9717,7869,11566,9.7,86.2,78.6,93.8,4.5,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,15,19,B,9906,7816,11996,10.8,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8809,6813,10805,11.6,88.9,81.7,96.1,4.1,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,15,19,M,40483,37628,43339,3.6,100,100,100,0,10410,8441,12379,9.6,25.7,21.2,30.2,8.9,7687,5906,9467,11.8,19,14.9,23.1,11,2723,1619,3828,20.7,6.7,4,9.4,20.6,8037,5812,10262,14.1,19.9,14.7,25,13.2,21999,19330,24667,6.2,54.3,48.4,60.2,5.5,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,15,19,F,20175,18158,22193,5.1,100,100,100,0,5741,4125,7357,14.4,28.5,21,35.9,13.4,4041,2626,5457,17.9,20,13.2,26.9,17.4,1700,732,2668,29.1,8.4,3.7,13.1,28.4,3807,2341,5272,19.6,18.9,12,25.8,18.6,10627,8710,12545,9.2,52.7,44.3,61.1,8.2,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,34,B,20308,18218,22398,5.3,100,100,100,0,4669,3333,6004,14.6,23,17,29,13.3,3645,2487,4803,16.2,17.9,12.6,23.3,15.1,1023,387,1660,31.7,5,2,8.1,31,4230,2807,5654,17.2,20.8,14.5,27.2,15.6,11371,9575,13168,8.1,56,48.5,63.5,6.9,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,34,M,113158,108944,117372,1.9,100,100,100,0,45902,40889,50915,5.6,40.6,36.3,44.8,5.4,38221,33268,43173,6.6,33.8,29.5,38.1,6.5,7681,5377,9985,15.3,6.8,4.8,8.8,15.2,33875,29151,38599,7.1,29.9,26.1,33.7,6.5,33382,28433,38330,7.6,29.5,25.2,33.8,7.5,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,34,F,55982,52990,58975,2.7,100,100,100,0,23611,19633,27589,8.6,42.2,35.4,48.9,8.2,20307,16554,24059,9.4,36.3,29.8,42.7,9.1,3304,1827,4782,22.8,5.9,3.3,8.5,22.5,15927,12489,19365,11,28.5,22.7,34.2,10.4,16444,12850,20039,11.2,29.4,23,35.8,11.1,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,24,B,57176,54336,60017,2.5,100,100,100,0,22291,18653,25929,8.3,39,32.9,45.1,8,17914,14436,21392,9.9,31.3,25.6,37.1,9.4,4377,2526,6228,21.6,7.7,4.4,10.9,21.9,17948,14485,21411,9.8,31.4,25.5,37.3,9.6,16937,13483,20392,10.4,29.6,23.8,35.4,10,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,24,M,37558,33131,41985,6,100,100,100,0,14974,11614,18334,11.4,39.9,31.9,47.8,10.1,12090,8931,15248,13.3,32.2,24.7,39.6,11.8,2884,1244,4524,29,7.7,3.3,12.1,29.2,9727,7005,12449,14.3,25.9,19.1,32.7,13.4,12857,9326,16388,14,34.2,26.2,42.2,11.9,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,24,F,17989,14669,21309,9.4,100,100,100,0,7766,5082,10450,17.6,43.2,30.4,56,15.1,7000,4414,9585,18.8,38.9,26.5,51.3,16.2,-1,-1,-1,-1,-1,-1,-1,-1,3782,1892,5672,25.5,21,11,31.1,24.3,6441,3873,9008,20.3,35.8,23.6,48,17.4,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,25,34,B,19569,16656,22482,7.6,100,100,100,0,7208,4865,9551,16.6,36.8,25.8,47.9,15.3,5090,3176,7005,19.2,26,16.7,35.3,18.3,-1,-1,-1,-1,-1,-1,-1,-1,5945,3729,8161,19,30.4,19.9,40.8,17.6,6416,4068,8765,18.7,32.8,22.3,43.3,16.4,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,25,34,M,75600,69390,81810,4.2,100,100,100,0,30928,26173,35682,7.8,40.9,35.6,46.2,6.6,26131,21792,30469,8.5,34.6,29.5,39.6,7.4,4797,2971,6623,19.4,6.3,4,8.7,18.8,24148,20085,28210,8.6,31.9,27.7,36.2,6.8,20524,16553,24495,9.9,27.1,22,32.3,9.7,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,25,34,F,37993,33525,42461,6,100,100,100,0,15845,12211,19479,11.7,41.7,33.9,49.5,9.6,13307,9951,16664,12.9,35,27.6,42.5,10.8,2538,1225,3850,26.4,6.7,3.3,10.1,25.9,12145,9197,15092,12.4,32,25,38.9,11.1,10003,7036,12971,15.1,26.3,19,33.7,14.3,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,35,44,B,37607,33437,41777,5.7,100,100,100,0,15083,12017,18149,10.4,40.1,33.1,47.1,8.9,12823,9970,15677,11.4,34.1,27.5,40.7,9.9,2259,1060,3458,27.1,6,2.8,9.2,27,12003,9245,14762,11.7,31.9,25.3,38.6,10.6,10521,7599,13444,14.2,28,21.1,34.8,12.5,-1,-1,-1,-1,-1,-1,-1,-1
