Location,GeoRef,AgeRangeLower,AgeRangeHigher,Sex,TotalNum,TotalNumLow95,TotalNumHigh95,TotalNumCoeffVar,TotalPerc,TotalPercLow95,TotalPercHigh95,TotalPerCoeffVar,UnderNum,UnderNumLow95,UnderNumHigh95,UnderNumCoeffVar,UnderPerc,UnderPercLow95,UnderPercHigh95,UnderPercCoeffVar,NormalNum,NormalNumLow95,NormalNumHigh95,NormalNumCoeffVar,NormalPerc,NormalPercLow95,NormalPercHigh95,NormalPercCoeffVar,SomeNum,SomeNumLow95,SomeNumHigh95,SomeNumCoeffVar,SomePerc,SomPercLow95,SomPercHigh95,SomePercCoeffVar,OverNum,OverNumLow95,OverNumHigh95,OverNumCoeffVar,OverPerc,OverPercLow95,OverPercHigh95,OverPercCoeffVar,NotNum,NotNumLow95,NotNumHigh95,NotNumCoeffVar,NotPerc,NotPercLow95,NotPercHigh95,NotPercCoeffVar
Canada,0,35,44,M,5281243,5227296,5335189,0.5,100,100,100,0,409539,382412,436666,3.4,7.8,7.3,8.3,3.3,2281028,2228387,2333669,1.2,43.2,42.3,44.1,1.1,821853,789556,854151,2,15.6,15,16.2,2,1679251,1633789,1724713,1.4,31.8,31,32.6,1.3,89571,79358,99784,5.8,1.7,1.5,1.9,5.8
Canada,0,35,44,F,2648357,2608470,2688244,0.8,100,100,100,0,77587,64215,90958,8.8,2.9,2.4,3.4,8.7,1019069,980371,1057766,1.9,38.5,37.2,39.8,1.7,536134,509852,562416,2.5,20.2,19.3,21.2,2.4,998567,963335,1033799,1.8,37.7,36.5,38.9,1.7,17001,12066,21935,14.8,0.6,0.5,0.8,14.8
Canada,0,45,64,B,2632886,2597565,2668207,0.7,100,100,100,0,331953,307248,356657,3.8,12.6,11.7,13.5,3.6,1261959,1226013,1297905,1.5,47.9,46.7,49.1,1.3,285719,265736,305703,3.6,10.9,10.1,11.6,3.5,680684,650774,710595,2.2,25.9,24.7,27,2.2,72570,63266,81875,6.5,2.8,2.4,3.1,6.5
Canada,0,45,64,M,7279515,7275759,7283270,0,100,100,100,0,321672,297892,345451,3.8,4.4,4.1,4.7,3.8,2751493,2694928,2808057,1,37.8,37,38.6,1,1284110,1240662,1327558,1.7,17.6,17,18.2,1.7,2791323,2737784,2844861,1,38.3,37.6,39.1,1,130918,117539,144296,5.2,1.8,1.6,2,5.2
Canada,0,45,64,F,3606715,3605462,3607967,0,100,100,100,0,83982,70544,97419,8.2,2.3,2,2.7,8.2,1227298,1186814,1267782,1.7,34,32.9,35.2,1.7,754151,721469,786833,2.2,20.9,20,21.8,2.2,1520740,1480944,1560535,1.3,42.2,41.1,43.3,1.3,20544,14937,26152,13.9,0.6,0.4,0.7,13.9
Canada,0,45,54,B,3672800,3669237,3676362,0,100,100,100,0,237690,218035,257345,4.2,6.5,5.9,7,4.2,1524194,1485005,1563384,1.3,41.5,40.4,42.6,1.3,529959,501218,558700,2.8,14.4,13.6,15.2,2.8,1270583,1233182,1307984,1.5,34.6,33.6,35.6,1.5,110373,98097,122649,5.7,3,2.7,3.3,5.7
Canada,0,45,54,M,4442130,4387674,4496587,0.6,100,100,100,0,216399,196274,236523,4.7,4.9,4.4,5.3,4.7,1722300,1673036,1771563,1.5,38.8,37.8,39.8,1.3,760927,725638,796216,2.4,17.1,16.4,17.9,2.3,1663084,1616924,1709243,1.4,37.4,36.5,38.4,1.3,79422,69806,89038,6.2,1.8,1.6,2,6.2
Canada,0,45,54,F,2196682,2158157,2235208,0.9,100,100,100,0,50462,39992,60931,10.6,2.3,1.8,2.8,10.5,754187,719889,788485,2.3,34.3,32.9,35.7,2.1,459860,433976,485745,2.9,20.9,19.8,22.1,2.8,920214,884564,955865,2,41.9,40.4,43.3,1.8,11959,8402,15516,15.2,0.5,0.4,0.7,15.1
Canada,0,55,64,B,2245448,2208319,2282577,0.8,100,100,100,0,165937,148884,182990,5.2,7.4,6.6,8.1,5.2,968113,932353,1003873,1.9,43.1,41.7,44.5,1.7,301066,277275,324857,4,13.4,12.4,14.4,3.9,742869,710953,774786,2.2,33.1,31.7,34.4,2.1,67463,58561,76364,6.7,3,2.6,3.4,6.8
Canada,0,55,64,M,2837384,2783242,2891526,1,100,100,100,0,105273,92214,118332,6.3,3.7,3.3,4.2,6.2,1029193,989598,1068788,2,36.3,35.1,37.4,1.6,523183,496157,550210,2.6,18.4,17.5,19.3,2.5,1128239,1089526,1166952,1.8,39.8,38.6,40.9,1.5,51495,42609,60382,8.8,1.8,1.5,2.1,8.9
Canada,0,55,64,F,1410032,1371550,1448514,1.4,100,100,100,0,33520,25729,41311,11.9,2.4,1.8,2.9,11.7,473111,445102,501121,3,33.6,31.9,35.3,2.6,294291,274384,314198,3.5,20.9,19.5,22.2,3.3,600525,572138,628913,2.4,42.6,40.9,44.2,2,8585,4360,12810,25.1,0.6,0.3,0.9,25.2
Newfoundland and Labrador,10,12,64,B,1427352,1390573,1464131,1.3,100,100,100,0,71753,61258,82249,7.5,5,4.3,5.8,7.4,556082,528711,583453,2.5,39,37.4,40.5,2,228893,211313,246473,3.9,16,14.8,17.2,3.8,527714,500916,554512,2.6,37,35.4,38.6,2.2,42910,35018,50803,9.4,3,2.5,3.6,9.4
Newfoundland and Labrador,10,12,64,M,335431,333520,337341,0.3,100,100,100,0,15787,12579,18995,10.4,4.7,3.7,5.7,10.4,116956,109734,124178,3.2,34.9,32.7,37,3.1,56006,50442,61570,5.1,16.7,15,18.3,5,143599,136052,151147,2.7,42.8,40.6,45,2.7,3082,1542,4622,25.5,0.9,0.5,1.4,25.5
Newfoundland and Labrador,10,12,64,F,168911,168858,168963,0,100,100,100,0,3293,1818,4767,22.8,1.9,1.1,2.8,22.8,52384,46916,57853,5.3,31,27.8,34.3,5.3,32014,27364,36664,7.4,19,16.2,21.7,7.4,80845,74796,86895,3.8,47.9,44.3,51.4,3.8,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,34,B,166520,164608,168432,0.6,100,100,100,0,12494,9710,15279,11.4,7.5,5.8,9.2,11.4,64572,59595,69548,3.9,38.8,35.8,41.7,3.9,23992,20981,27004,6.4,14.4,12.6,16.2,6.4,62754,57845,67664,4,37.7,34.8,40.5,3.9,2707,1257,4158,27.3,1.6,0.8,2.5,27.4
Newfoundland and Labrador,10,20,34,M,110084,105666,114501,2,100,100,100,0,8319,5723,10915,15.9,7.6,5.2,9.9,16,44368,39509,49226,5.6,40.3,36,44.6,5.4,14242,11029,17455,11.5,12.9,10,15.8,11.5,42426,37450,47403,6,38.5,34.6,42.5,5.3,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,34,F,55982,52990,58975,2.7,100,100,100,0,1961,696,3225,32.9,3.5,1.2,5.8,33.1,21319,17431,25208,9.3,38.1,31.2,44.9,9.2,8888,6413,11362,14.2,15.9,11.6,20.2,13.8,23756,19599,27914,8.9,42.4,35.6,49.3,8.2,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,24,B,54101,50761,57442,3.2,100,100,100,0,6358,4177,8540,17.5,11.8,7.8,15.7,17.3,23048,19508,26589,7.8,42.6,36.6,48.6,7.2,5355,3592,7117,16.8,9.9,6.6,13.1,16.7,18670,15514,21827,8.6,34.5,29.3,39.8,7.8,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,24,M,36978,32570,41387,6.1,100,100,100,0,4430,2459,6402,22.7,12,6.8,17.2,22.2,18729,14643,22815,11.1,50.6,42.4,58.9,8.3,3684,1697,5672,27.5,10,4.6,15.3,27.3,10020,7106,12934,14.8,27.1,19.5,34.7,14.3,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,20,24,F,17989,14669,21309,9.4,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,9696,6581,12811,16.4,53.9,41.9,65.9,11.4,-1,-1,-1,-1,-1,-1,-1,-1,5040,2896,7184,21.7,28,16.8,39.2,20.4,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,25,34,B,18989,16118,21860,7.7,100,100,100,0,3340,1580,5100,26.9,17.6,8.9,26.3,25.2,9033,6488,11578,14.4,47.6,36.8,58.3,11.5,-1,-1,-1,-1,-1,-1,-1,-1,4980,3065,6895,19.6,26.2,16.5,35.9,18.9,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,25,34,M,73105,66862,79348,4.4,100,100,100,0,3889,2400,5378,19.5,5.3,3.3,7.3,19.4,25638,21614,29663,8,35.1,30.4,39.7,6.7,10558,7989,13126,12.4,14.4,11.1,17.8,11.7,32406,28054,36759,6.9,44.3,39.9,48.7,5.1,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,25,34,F,37993,33525,42461,6,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,11623,8554,14693,13.5,30.6,23.3,37.9,12.1,6783,4666,8900,15.9,17.9,12.6,23.1,15.1,18717,14965,22468,10.2,49.3,41.7,56.8,7.8,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,35,44,B,35112,30792,39432,6.3,100,100,100,0,3019,1757,4280,21.3,8.6,5.1,12.1,21,14015,10858,17172,11.5,39.9,32.6,47.3,9.4,3775,2327,5222,19.6,10.8,6.9,14.6,18.2,13690,10998,16382,10,39,32.8,45.2,8.1,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,35,44,M,88295,84082,92508,2.4,100,100,100,0,3548,1936,5160,23.2,4,2.2,5.8,23,28737,25434,32040,5.9,32.5,29.2,35.9,5.3,16607,13396,19818,9.9,18.8,15.3,22.3,9.5,38045,34153,41938,5.2,43.1,39.1,47.1,4.7,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,35,44,F,44147,41155,47140,3.5,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,11316,8906,13725,10.9,25.6,20.4,30.9,10.4,10012,7328,12695,13.7,22.7,17,28.3,12.8,22186,19164,25208,6.9,50.3,44,56.6,6.4,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,45,64,B,44148,41278,47018,3.3,100,100,100,0,3221,1745,4697,23.4,7.3,4,10.6,23.1,17421,14676,20166,8,39.5,33.9,45.1,7.3,6595,4514,8677,16.1,14.9,10.3,19.6,15.8,15859,13283,18436,8.3,35.9,30.5,41.4,7.8,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,45,64,M,137052,136385,137719,0.2,100,100,100,0,3920,2323,5517,20.8,2.9,1.7,4,20.8,43851,39237,48466,5.4,32,28.6,35.4,5.4,25157,21608,28706,7.2,18.4,15.8,20.9,7.2,63128,58278,67978,3.9,46.1,42.5,49.6,3.9,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,45,64,F,68781,68729,68834,0,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,19750,16490,23009,8.4,28.7,24,33.5,8.4,13114,10436,15793,10.4,19.1,15.2,23,10.4,34903,31392,38414,5.1,50.7,45.6,55.9,5.1,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,45,54,B,68271,67607,68935,0.5,100,100,100,0,2915,1458,4371,25.5,4.3,2.1,6.4,25.5,24102,20760,27444,7.1,35.3,30.4,40.2,7.1,12043,9813,14272,9.4,17.6,14.4,20.9,9.5,28225,24933,31517,6,41.3,36.6,46.1,5.9,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,45,54,M,80176,75392,84960,3,100,100,100,0,2232,1014,3450,27.8,2.8,1.3,4.3,28.1,24607,20999,28215,7.5,30.7,26.3,35.1,7.3,15150,11722,18577,11.5,18.9,14.8,22.9,10.9,37702,33369,42034,5.9,47,42.6,51.4,4.8,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,45,54,F,42552,39231,45874,4,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,10631,8363,12899,10.9,25,19.6,30.4,11.1,8562,6107,11016,14.6,20.1,14.7,25.6,13.9,22812,19411,26213,7.6,53.6,47.3,59.9,6,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,55,64,B,37623,34445,40801,4.3,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,13976,11410,16543,9.4,37.1,30.6,43.7,8.9,6588,4563,8613,15.7,17.5,12.4,22.6,14.8,14890,12358,17422,8.7,39.6,34,45.2,7.2,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,55,64,M,56876,52075,61678,4.3,100,100,100,0,-1,-1,-1,-1,3,1.1,4.9,32.9,19244,15966,22523,8.7,33.8,28.9,38.8,7.5,10007,7689,12326,11.8,17.6,13.9,21.3,10.6,25426,21832,29020,7.2,44.7,39.4,50,6,-1,-1,-1,-1,-1,-1,-1,-1
Newfoundland and Labrador,10,55,64,F,26229,22904,29554,6.5,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,9119,6752,11485,13.2,34.8,27.4,42.2,10.9,4553,2974,6132,17.7,17.4,11.7,23,16.7,12091,9606,14576,10.5,46.1,38.2,54,8.7,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,12,64,B,30647,27457,33838,5.3,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,10126,7975,12276,10.8,33,26.6,39.5,10,5455,3751,7158,15.9,17.8,12.8,22.8,14.4,13335,10759,15910,9.9,43.5,36.4,50.6,8.3,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,12,64,M,116119,114940,117298,0.5,100,100,100,0,5475,3463,7486,18.7,4.7,3,6.5,18.8,43955,39172,48739,5.6,37.9,33.8,41.9,5.5,20549,16783,24316,9.4,17.7,14.5,20.9,9.3,45612,40916,50308,5.3,39.3,35.2,43.4,5.3,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,12,64,F,57829,57829,57829,0,100,100,100,0,1509,538,2480,32.8,2.6,0.9,4.3,32.8,18199,14516,21882,10.3,31.5,25.1,37.8,10.3,11403,8210,14595,14.3,19.7,14.2,25.2,14.3,26718,22905,30532,7.3,46.2,39.6,52.8,7.3,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,20,34,B,58290,57111,59469,1,100,100,100,0,3966,2269,5663,21.8,6.8,3.9,9.7,22,25756,22702,28810,6.1,44.2,39.1,49.3,5.9,9147,7090,11204,11.5,15.7,12.1,19.3,11.6,18894,15485,22303,9.2,32.4,26.7,38.1,9,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,20,34,M,39802,37056,42548,3.5,100,100,100,0,2835,1321,4350,27.3,7.1,3.4,10.9,27,17604,14828,20379,8,44.2,37.3,51.1,8,4168,2326,6011,22.6,10.5,5.9,15,22,15045,11881,18208,10.7,37.8,30.6,45,9.7,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,20,34,F,21078,19263,22892,4.4,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,7412,5057,9767,16.2,35.2,23.9,46.4,16.4,2922,1345,4498,27.5,13.9,6.5,21.3,27.3,9860,6988,12732,14.9,46.8,34.2,59.3,13.7,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,20,24,B,18724,16642,20806,5.7,100,100,100,0,1951,791,3112,30.3,10.4,4.4,16.5,29.6,10191,8121,12261,10.4,54.4,43.5,65.3,10.2,-1,-1,-1,-1,-1,-1,-1,-1,5185,3258,7111,19,27.7,18.4,36.9,17,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,20,24,M,13833,11013,16653,10.4,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,7835,5308,10361,16.5,56.6,43.7,69.5,11.6,-1,-1,-1,-1,-1,-1,-1,-1,3421,1474,5368,29,24.7,10.3,39.2,29.8,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,20,24,F,7054,4976,9132,15,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,3035,1366,4705,28.1,43,23.9,62.2,22.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,25,34,B,6779,4791,8767,15,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,4799,3061,6537,18.5,70.8,53.9,87.7,12.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,25,34,M,25969,21984,29954,7.8,100,100,100,0,1662,660,2665,30.8,6.4,2.5,10.3,30.7,9769,7299,12239,12.9,37.6,30.3,44.9,9.9,2764,1425,4102,24.7,10.6,5.7,15.6,23.9,11624,9040,14207,11.3,44.8,37.4,52.1,8.4,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,25,34,F,14024,11240,16808,10.1,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,4377,2577,6177,21,31.2,19.3,43.1,19.4,1719,618,2820,32.7,12.3,4.5,20,32.4,7381,4972,9790,16.7,52.6,39.8,65.5,12.5,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,35,44,B,11945,9202,14687,11.7,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,5392,3449,7335,18.4,45.1,31.2,59.1,15.8,-1,-1,-1,-1,-1,-1,-1,-1,4242,2467,6017,21.3,35.5,23.7,47.4,17,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,35,44,M,30252,27602,32903,4.5,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,11542,9431,13654,9.3,38.2,31.9,44.4,8.3,6491,4318,8664,17.1,21.5,14.7,28.2,16,10757,8593,12921,10.3,35.6,29,42.1,9.4,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,35,44,F,14045,12231,15860,6.6,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,4368,2967,5769,16.4,31.1,21.3,40.9,16.1,3918,1999,5838,25,27.9,15.9,39.9,21.9,5654,3915,7393,15.7,40.3,28.2,52.3,15.3,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,45,64,B,16207,14291,18123,6,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,7174,5255,9094,13.7,44.3,34.7,53.9,11,2573,1103,4043,29.1,15.9,6.8,24.9,29.1,5103,3697,6509,14.1,31.5,22.9,40,13.8,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,45,64,M,46064,46064,46064,0,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,14809,11599,18019,11.1,32.1,25.2,39.1,11.1,9890,7226,12554,13.7,21.5,15.7,27.3,13.7,19810,16319,23302,9,43,35.4,50.6,9,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,45,64,F,22706,22706,22706,0,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,6419,4067,8771,18.7,28.3,17.9,38.6,18.7,4563,2701,6425,20.8,20.1,11.9,28.3,20.8,11204,8697,13711,11.4,49.3,38.3,60.4,11.4,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,45,54,B,23359,23359,23359,0,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,8390,6268,10513,12.9,35.9,26.8,45,12.9,5327,3595,7060,16.6,22.8,15.4,30.2,16.6,8606,6390,10822,13.1,36.8,27.4,46.3,13.1,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,45,54,M,26594,23073,30114,6.8,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,8549,6165,10933,14.2,32.1,23,41.3,14.5,5508,2973,8043,23.5,20.7,11.8,29.7,22.1,11733,8520,14946,14,44.1,34.5,53.7,11.1,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,45,54,F,13413,11187,15640,8.5,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,3107,1747,4468,22.3,23.2,12.4,34,23.8,2737,1216,4258,28.3,20.4,9.5,31.3,27.2,7376,4980,9771,16.6,55,41.5,68.5,12.5,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,55,64,B,13180,10729,15632,9.5,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,5441,3621,7261,17.1,41.3,28,54.6,16.5,2771,1104,4437,30.7,21,9.6,32.4,27.7,4357,2658,6057,19.9,33.1,22.1,44,17,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,55,64,M,19471,15950,22991,9.2,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,6261,4008,8514,18.4,32.2,22.5,41.8,15.4,4382,2600,6164,20.7,22.5,14.4,30.6,18.4,8077,5516,10639,16.2,41.5,30.7,52.2,13.2,-1,-1,-1,-1,-1,-1,-1,-1
"Health and Community Services St. John's Region, Newfoundland and Labrador (Peer group H)",1001,55,64,F,9292,7066,11518,12.2,100,100,100,0,-1,-1,-1,-1,-1,-1,-1,-1,3312,1544,5080,27.2,35.6,20.8,50.5,21.3,1825,707,2943,31.3,19.6,7.7,31.6,30.9,3829,2140,5517,22.5,41.2,24.8,57.6,20.3,-1,-1,-1,-1,-1,-1,-1,-1
